Price,Close
Ticker,AAPL
Date,
2020-12-02,119.81251525878906
2020-12-03,119.67623138427734
2020-12-04,119.0045394897461
2020-12-07,120.4647216796875
2020-12-08,121.07799530029297
2020-12-09,118.54702758789062
2020-12-10,119.96826934814453
2020-12-11,119.1603012084961
2020-12-14,118.54702758789062
2020-12-15,124.48509216308594
2020-12-16,124.41693878173828
2020-12-17,125.2833023071289
2020-12-18,123.29747009277344
2020-12-21,124.82576751708984
2020-12-22,128.37887573242188
2020-12-23,127.48330688476562
2020-12-24,128.46649169921875
2020-12-28,133.0612030029297
2020-12-29,131.28952026367188
2020-12-30,130.17007446289062
2020-12-31,129.1673583984375
2021-01-04,125.97444915771484
2021-01-05,127.53199768066406
2021-01-06,123.23905944824219
2021-01-07,127.44438171386719
2021-01-08,128.54440307617188
2021-01-11,125.5558853149414
2021-01-12,125.38064575195312
2021-01-13,127.41515350341797
2021-01-14,125.48774719238281
2021-01-15,123.76472473144531
2021-01-19,124.43640899658203
2021-01-20,128.52491760253906
2021-01-21,133.23641967773438
2021-01-22,135.37802124023438
2021-01-25,139.1258087158203
2021-01-26,139.35940551757812
2021-01-27,138.28866577148438
2021-01-28,133.45059204101562
2021-01-29,128.456787109375
2021-02-01,130.578857421875
2021-02-02,131.4062957763672
2021-02-03,130.38421630859375
2021-02-04,133.74258422851562
2021-02-05,133.32827758789062
2021-02-08,133.47450256347656
2021-02-09,132.5970916748047
2021-02-10,131.9925994873047
2021-02-11,131.7391815185547
2021-02-12,131.97315979003906
2021-02-16,129.84786987304688
2021-02-17,127.55681610107422
2021-02-18,126.45519256591797
2021-02-19,126.61116790771484
2021-02-22,122.83827209472656
2021-02-23,122.70178985595703
2021-02-24,122.20458221435547
2021-02-25,117.95397186279297
2021-02-26,118.21721649169922
2021-03-01,124.5833740234375
2021-03-02,121.9803695678711
2021-03-03,118.99715423583984
2021-03-04,117.11557006835938
2021-03-05,118.3731918334961
2021-03-08,113.44017791748047
2021-03-09,118.0514907836914
2021-03-10,116.96932983398438
2021-03-11,118.899658203125
2021-03-12,117.99299621582031
2021-03-15,120.87872314453125
2021-03-16,122.4190673828125
2021-03-17,121.62937927246094
2021-03-18,117.50550842285156
2021-03-19,116.97908020019531
2021-03-22,120.29376983642578
2021-03-23,119.46510314941406
2021-03-24,117.07656860351562
2021-03-25,117.56402587890625
2021-03-26,118.16845703125
2021-03-29,118.34395599365234
2021-03-30,116.89134979248047
2021-03-31,119.08487701416016
2021-04-01,119.9135513305664
2021-04-05,122.74078369140625
2021-04-06,123.0429916381836
2021-04-07,124.69061279296875
2021-04-08,127.0888671875
2021-04-09,129.66265869140625
2021-04-12,127.94681549072266
2021-04-13,131.0567626953125
2021-04-14,128.7169952392578
2021-04-15,131.12496948242188
2021-04-16,130.7935028076172
2021-04-19,131.45645141601562
2021-04-20,129.76986694335938
2021-04-21,130.1501007080078
2021-04-22,128.62921142578125
2021-04-23,130.94952392578125
2021-04-26,131.33946228027344
2021-04-27,131.0177001953125
2021-04-28,130.2281036376953
2021-04-29,130.1305694580078
2021-04-30,128.16127014160156
2021-05-03,129.21412658691406
2021-05-04,124.64185333251953
2021-05-05,124.88558959960938
2021-05-06,126.48441314697266
2021-05-07,127.15825653076172
2021-05-10,123.87699890136719
2021-05-11,122.95904541015625
2021-05-12,119.89262390136719
2021-05-13,122.04104614257812
2021-05-14,124.46295166015625
2021-05-17,123.31057739257812
2021-05-18,121.92385864257812
2021-05-19,121.76761627197266
2021-05-20,124.32621765136719
2021-05-21,122.49028015136719
2021-05-24,124.12113189697266
2021-05-25,123.92584228515625
2021-05-26,123.87699890136719
2021-05-27,122.34382629394531
2021-05-28,121.68949127197266
2021-06-01,121.36721801757812
2021-06-02,122.12895202636719
2021-06-03,120.64459228515625
2021-06-04,122.93949890136719
2021-06-07,122.94927215576172
2021-06-08,123.76959991455078
2021-06-09,124.15045166015625
2021-06-10,123.15435028076172
2021-06-11,124.36528015136719
2021-06-14,127.42191314697266
2021-06-15,126.60160064697266
2021-06-16,127.09964752197266
2021-06-17,128.70120239257812
2021-06-18,127.40241241455078
2021-06-21,129.19927978515625
2021-06-22,130.83990478515625
2021-06-23,130.56643676757812
2021-06-24,130.2832489013672
2021-06-25,129.99029541015625
2021-06-28,131.62115478515625
2021-06-29,133.13479614257812
2021-06-30,133.75009155273438
2021-07-01,134.05276489257812
2021-07-02,136.67974853515625
2021-07-06,138.69146728515625
2021-07-07,141.18173217773438
2021-07-08,139.88287353515625
2021-07-09,141.70901489257812
2021-07-12,141.11331176757812
2021-07-13,142.2266387939453
2021-07-14,145.65432739257812
2021-07-15,145.00006103515625
2021-07-16,142.95904541015625
2021-07-19,139.11135864257812
2021-07-20,142.7246551513672
2021-07-21,141.9922332763672
2021-07-22,143.3594512939453
2021-07-23,145.07818603515625
2021-07-26,145.49810791015625
2021-07-27,143.33013916015625
2021-07-28,141.58209228515625
2021-07-29,142.2266387939453
2021-07-30,142.4414825439453
2021-08-02,142.1094207763672
2021-08-03,143.9063262939453
2021-08-04,143.50592041015625
2021-08-05,143.6133575439453
2021-08-06,142.92874145507812
2021-08-09,142.8798065185547
2021-08-10,142.40060424804688
2021-08-11,142.6549072265625
